mySegmentationCond	myLang	response
segmented	L1	naum ringu 
segmented	L1	gallatu,taibiku,dairobe,pilato
segmented	L1	da be do do be da to be do ge ba to
segmented	L2	picuti tudara,picuti budapa,picuti picala
segmented	L1	dawrobi tabitu nikumo
segmented	L2	bi cou ti,se rah pah,do so ra
segmented	L2	todara bukaru doopala
segmented	L1	galatu,tarapi,tiribu,dirubi
segmented	L2	bicalla picalla semistry
segmented	L2	pe ka ti chi ka ta pikata chakata pi ka pika cha cha pikate chakara chakara pikate pikara pikata chakara pikate
segmented	L1	gala two tibu da go raapi tibu da go raapi
segmented	L1	pabiku,dorabi,galatyu,cibutot
segmented	L2	bee coo tee,two da ra,bout too pa,pe 
segmented	L1	galapi gapitu papitu papiti galatu papiti galatu papiti galapi galapo papiti 
segmented	L2	me coupa,two dollar
segmented	L1	dabbi di
segmented	L1	laga 2
segmented	L2	pigola,budopa  ,bikuti,budopa  
segmented	L1	pabakee pabeekoo 
segmented	L1	garatic
segmented	L2	thudarah,peecolah,beecolah,bicotee
segmented	L2	zico zi,zico za,za ra na
segmented	L2	picote,tudor rock,pegola,pzappa
segmented	L2	bicola
segmented	L1	tibuda
segmented	L2	vi-cu-ti,ti-go-la,voo-da-pa,pi-go-la,tu-da-ra,bu-da-pa
segmented	L2	be coo te,ta da rah,peak a ta,boo la ra
continuous	L1	da latte du tutu 
continuous	L1	wapi papi gooti goota
continuous	L2	pibala,bugiti,rubala,tingala,rubuti
continuous	L1	papi rapi kal tup tapi gil
continuous	L2	umwabe,kube
continuous	L2	too the latte,moooo,too the latte
continuous	L2	dont lavi dont kapi kupichu dont labi dont keep me dont kapi kupichu huad 
continuous	L2	bekuteepeedollar ,teepeekikoluku,peetudeepeedollar
continuous	L1	gorraf,peeto,meeto
continuous	L1	taka laka teeku 
continuous	L2	dalonigtbdophophi dalobdakabdarobigopachu
continuous	L1	da
continuous	L2	go la pee da rabi na ra be
continuous	L1	rappi coo baa co ba rab 
continuous	L2	papi,kuti,buti
continuous	L1	roppy poppy tebu galla ralla dabu tobby 
continuous	L2	tupa cutie walla
continuous	L1	cu la pa boom te co ne cool too bi bop boo te la qua coo 
continuous	L1	dogora pitibo,dodora pitabo pitibo,digora pa
continuous	L1	little green man
continuous	L2	gala,ba,rapute,tuti,rok
